Timestamp	What kind of application do you build?	What language do you use	What OS you deployed to	What OS you write your code on	What IDE do you use	What Version control do you use	How do you test your application?	Tell us more about your development setup. Tell us things like the plugin you use on your IDE, whether you use docker or kubernetes, do you code using remote development tools etc.	Tell us about your computer. Tell us about the spec, which model etc	How do you deploy your application? Tell us whether you build an docker image or use a script etc.	What issue tracker you use in your team?	Do you do standup in your work place	Do your team do sprint planning	Tell us more about your development process. What else your team do other than standup and sprint planning
22/01/2021 11:23:41	Web Applications, Mobile Application, Desktop Application, Embedded Systems	Javascript, C++	Ubuntu Linux, iOS, Android, Windows, MacOS, various RTOS	Linux	Visual Studio Code, EMACS, Codelite	git	They don't need to be tested. :p	Well, since it's mostly C++, it's CMake based.	HP24B110D	Manual install.	Gitea	No	No	We sit down and talk. :p
22/01/2021 11:53:05	Web Applications, Data Dashboard	Javascript, Python, R, Haskell		Mac, Linux	VIM, EMACS	git	Rarely do test	On emacs,  multiple cursors, magit, org mode stuff, evil, counsel and ivy, vterm, lsp	2016 macbook pro	Docker	Github	Yes	Yes	
22/01/2021 12:41:20	machine learning models	Python, R	None - Use serverless, function as a service etc	Windows	Visual Studio Code, rstudio	git	testthat					No	No	
22/01/2021 13:20:03	Web Applications, Cli	Java, Go	Alpine	Mac	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc, VIM	git	Junit5, go test	Native local development, remote kubernetes	MacBook pro 16"	CI/CD Codefresh	JIRA	Yes	Yes	Sprint grooming before end of sprint
22/01/2021 13:48:21	Web Applications	Javascript, Python, Typescript	Ubuntu Linux	Mac	Visual Studio Code	git	Unit test + testers	Docker, vscode liveshare	2016 base model Macbook Pro 13 inch (not good for development due to low RAM, will change soon to 2021 M1 MBP)	docker image	JIRA	Yes	Maybe	
22/01/2021 13:56:49	Mobile Application	Javascript	iOS, Android	Mac, Windows	Visual Studio Code	git	manually	Language server plugins; python/haskell/elixir etc.	Work: MBP 13in 2018.  Personal: Windows Laptop, Core i3, 12GB RAM, UHD Graphics  620 	AppCenter	Excel Sheet	Yes	Yes	
22/01/2021 15:39:39	Web Applications, Data Dashboard, Microservices	Javascript, Python, Golang	Ubuntu Linux	Mac	SublimeText	git				Docker, bash script, pip	Github	Yes	Yes	
22/01/2021 15:43:22	Web Applications, Data Dashboard	Javascript, R, Java	Ubuntu Linux	Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc, VIM	git	LOL	Docker for every deployment, git for version control and just local environment for dev	Thinkpad T480 16gb RAM 	Docker image, manual but should automate it more LOL	JIRA	Yes	Maybe	
22/01/2021 15:45:44	Web Applications, Mobile Application	PHP, Javascript, Python, Java, Go, Typescript	Ubuntu Linux, iOS, Android, docker (compose), kubernetes	Mac, Linux, Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git	Good question.	Mostly vscode. Docker. Kubernetes. Remote development on beefy server. Local development for experiments.	Macbook Pro 16, Microsoft Surface Pro 4, White box.	Docker, jenkins, gitlab-ci, kubectl, rsync.	Trello	Maybe	Maybe	Yak shaving.
22/01/2021 16:02:08	Web Applications, Mobile Application	PHP, Javascript	None - Use serverless, function as a service etc	Mac, Windows	Visual Studio Code	git	Unit testing	Docker	Macbook pro 2019	Attlassian's Bamboo, docker image	JIRA	Yes	Yes	Code review every day on 5pm
22/01/2021 16:08:21	Mobile Application	Kotlin	Android	Linux	JetBrains based - PyCharm, RubyMine etc, Android studio	git					Asana	Maybe	No	
22/01/2021 16:11:37	Web Applications, Mobile Application	PHP, Javascript, Java	iOS, Android, Windows	Mac, Windows	Visual Studio Code	git	Ask tester to do it			App center	Google sheets	Maybe	Maybe	
22/01/2021 16:16:31	Web Applications	PHP, Javascript, Java	Windows, Manjaro Linux	Linux	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc, VIM	git	manually	mostly LEMP and occasionally docker	hp probook i5, 8gb ram, 256gb	mostly manually	Trello	No	Yes	
22/01/2021 16:20:14	Web Applications	PHP, Javascript, C#	Red Hat Linux	Mac, Windows	Visual Studio Code, Visual Studio Community	git	Unit test with library, staging 3 for integation testing, and staging 0	Typical setup with Laravel Valet and Nginx	Work = Macbook Pro 2017 Personal = Hp laptop with 940MX 	Work = Jenkins + Bamboo with docker image Personal = Heroku	JIRA	Yes	Yes	acceptance with product manager
22/01/2021 16:26:35	Cloud Systems	Go	Ubuntu Linux, Core OS	Linux	Kakoune	git	By go panics in production :P	kubernetes, kustomize, kakoune for general editing, neovim for diff, I don't do IDE, kakoune go really sucks, but go is bad already so not much difference, footguns everywhere, I write go because my boss said so. I wish I can rewrite it in rust.	Redmibook 14 ii Ryzen Edition, AMD Ryzen 5-4500U, 16GB DDR4 3200MHz RAM, Radeon RX Vega 6/7 graphics card, 512GB SSD, no webcam, MYR 2600 (3 months ago)	kubectl apply -k deploy/overlays/dev-standalone/ with bunch of Dockerfile	Gitlab	Yes	Maybe	I got a legacy project from 2 years ago, no maintainer, the go code does not even build, some more I need to fix the code and change the issues, fix missing puzzles in the integration. Mostly need to figure out stuff myself, what needs to be done.
22/01/2021 16:33:35	Web Applications, Data Dashboard	Javascript	Ubuntu Linux, None - Use serverless, function as a service etc	Mac	Visual Studio Code	git	YOLO	Gitlab CI/CD	Macbook Pro 13' 2018 model	Gitlab CI/CD	JIRA	Yes	Yes	Teams meeting to clarify requirements
22/01/2021 16:35:30	Desktop Application, Close System	.Net, Peoplecode	Ubuntu Linux, Red Hat Linux, Windows, None - Use serverless, function as a service etc	Windows	Visual Studio Code, Peopletools	svn	Test Server			script 	None			
22/01/2021 16:39:07	Web Applications, Mobile Application, Desktop Application	PHP, Javascript, Ruby	Ubuntu Linux, Android, Windows	Mac, Windows	Visual Studio Code	git	Manual integration test, regression test	Docker, code linter, code formatted	MacBook Pro	Docker image and script	JIRA	Yes	Yes	We also do sprint review and retro, also grooming stories along the way
22/01/2021 16:54:42	Web Applications	PHP, Javascript	Ubuntu Linux	Windows	Visual Studio Code	git	Unit testing, UAT	Minimal plugin, not using docker or kubernetes in production yet	Huawei Mate 13, 16GB RAM, 512GB SSD	Various ways depend on the environment, a lot ssh and git pull previously, trying to more automate with github action now for coming projects	Trello	Yes	Yes	
22/01/2021 17:07:09	Web Applications	Javascript, Ruby	Ubuntu Linux	Mac, Linux, Windows	Visual Studio Code	git					pivotal tracker	Yes	Yes	
22/01/2021 17:24:33	Web Applications, Mobile Application, Data Dashboard, CLI	Javascript, Python, Java, Kotlin	Ubuntu Linux, Red Hat Linux, Android, Windows		Visual Studio Code, JetBrains based - PyCharm, RubyMine etc, EMACS	git	Integration test	Docker (remote development), emacs for python and some golang, intellij idea ultimate with Spring/Micronaut/Quarkus/kotlin/react/vue/golang support	Thinkpad T470 with 16G RAM	Docker and scripts	JIRA	Yes	Yes	https://github.com/davebs/AgileLite
22/01/2021 17:26:02	Web Applications, Mobile Application, Desktop Application	PHP, Javascript, Ruby, Java	Ubuntu Linux, Android, Windows, None - Use serverless, function as a service etc	Mac	JetBrains based - PyCharm, RubyMine etc	git					Trello	No	No	
22/01/2021 17:45:58	Web Applications, Data Dashboard	Javascript	Ubuntu Linux	Mac, Linux, Windows	Visual Studio Code, VIM	git	What testing ?🤣		Win i7, macbook pro 	Script	Trello	Yes	Yes	Just meetings
22/01/2021 17:49:18	Web Applications, Mobile Application, Data Dashboard	PHP, Javascript, Python, Java, Swift	Ubuntu Linux, iOS, Android	Mac, Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git					gitlab	Maybe	Maybe	
22/01/2021 17:49:21	Web Applications	Javascript, C#	Ubuntu Linux, Windows, None - Use serverless, function as a service etc	Windows	Visual Studio Code, Visual studio 	git	Unit Test		Core i7, 16GB RAM & SSD 	Azure DevOps 	Trello	Yes	Yes	
22/01/2021 18:52:32	Web Applications, Mobile Application	PHP, Javascript, Python	iOS, Android	Mac, Windows	Visual Studio Code	git					JIRA	Yes	Yes	
22/01/2021 18:54:31	Cloud	Go	Ubuntu Linux, Kubernetes, k3s, kubeadm	Mac	Visual Studio Code	git	Many ways. Including manual testing. 	Yes, I use Docker quite a lot	MBP ‘13 year 2020 (not M1), 32GB RAM, 1TB SSD	Kubernetes, Ansible, Terraform	Github	No	No	We just update each other once a day about what we’re doing, blockers & etc
22/01/2021 18:55:26	Web Applications, Mobile Application	Java	Red Hat Linux	Mac	JetBrains based - PyCharm, RubyMine etc, VIM, EMACS	git	Depends, after unit and integration, manual verification	Intellij with ideavim. Sometime just vim, sometimes just emacs. If its android related, rsync to online server and build it there.	MBP 16. i7	Internal company system	Internal company system	Yes	Yes	OE tasks and oncall cycle
22/01/2021 19:01:20	Web Applications	Javascript, Ruby	Ubuntu Linux	Mac	Visual Studio Code	git	Rspec	Vsc. Use docker. Deploy to elastic beanstalk.	MBP 13 2019 Base model.	Use circle ci to build the docker image and deploy to elastic beanstalk.	JIRA	Yes	Yes	
22/01/2021 19:12:12	Web Applications, Mobile Application	Javascript	Ubuntu Linux, iOS, Android, Windows	Mac, Linux, Windows	Visual Studio Code, VIM	git	Jest, cypress	WSL2	Macbook Pro 13" 2016, Windows 10 Pro (Ryzen 5 3600, 16GB RAM) 	Github actions	JIRA	Yes	Yes	Sprint retrospective, Daily End Report
22/01/2021 19:50:34	Web Applications	Javascript	None - Use serverless, function as a service etc	Mac, Windows	Visual Studio Code	git	UAT, Jest, Selinium 	eslint, ts-node	Potato PC		JIRA	Yes	Yes	
22/01/2021 20:20:13	Web Applications	Ruby	Ubuntu Linux, Red Hat Linux	Mac	Visual Studio Code	git	Manual test 		Macbook pro 13 inch	Docker image	JIRA	Yes	Yes	
22/01/2021 20:20:19	Web Applications	Ruby	Ubuntu Linux, Red Hat Linux	Mac	Visual Studio Code	git	Manual test 		Macbook pro 13 inch	Docker image	JIRA	Yes	Yes	
22/01/2021 20:57:02	Web Applications, Mobile Application	Javascript, Python	Centos	Windows	JetBrains based - PyCharm, RubyMine etc	git	Manual	kubernetes	Laptop	Using gitlab CI	JIRA	No	No	No plans
22/01/2021 21:00:20	Web Applications, Data Dashboard	Javascript, Python	Red Hat Linux, CentOS, Fedora (in container)	Linux	Visual Studio Code, VIM	git	Manual, unit tests , depending on project complexity/budget 	Rpm packaging and zc.buildout are primary, VSCode tasks heavily used , component programming to make things as reusable as possible	ThinkPad e470 2 core hyperthreading 24GB RAM 500GB SSD	Rpm package / zc.buildout + ansible	Gitlab	Yes	Yes	
22/01/2021 21:36:03	Data Dashboard	Python, R, Java	Ubuntu Linux, Red Hat Linux, Windows, None - Use serverless, function as a service etc	Mac, Windows	VIM	git					Trello	Yes	Yes	
22/01/2021 21:58:11	Web Applications, Cloud App	Javascript, C#, AngularJS, ASP.NET	saas	Windows	Visual Studio	git	Test in local environment	compile frontend code using Gulp, use Postman/fiddler to test API	windows 10, HP	Deploy to Microsoft Azure 	Gitlab	No	No	
22/01/2021 22:19:22	Web Applications, Data Dashboard	PHP, Javascript	Ubuntu Linux, Red Hat Linux	Linux, Windows	Visual Studio Code	git	Very thoroughly 	Beautify, eslint	Ryzen 5 1600x, 32gb ram, 2TB SSD, 1TB m.2 name, rx 5700 xt	Aws CLI	JIRA	Yes	Yes	
22/01/2021 22:55:23	Web Applications	Python	Ubuntu Linux, Debian	Linux	VIM	git	Manually	It's pretty barebones. pipenv I guess.	i7-2600 with 8GB RAM running ArchLinux	Manually	Airtable/Gitlab	Yes	No	-
22/01/2021 23:57:29	Web Applications, Mobile Application, Data Dashboard	Javascript, Ruby	Ubuntu Linux, iOS, Android, Windows	Windows	Visual Studio Code	git	Manual QA Testing		Asus Vivobook	Some using Docker, some manually deployed and some with script	Trello	Yes	Yes	
23/01/2021 00:53:56	Web Applications, Mobile Application, Data Dashboard	Javascript, Java, Swift	Ubuntu Linux, iOS, Android	Mac, Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git, svn	Local	Docker	i7 3rd Gen	Netlify	JIRA	Yes	Yes	Retrospective
23/01/2021 03:01:56	Web Applications, Mobile Application	PHP, Javascript, Python, Dart	Ubuntu Linux, iOS, Android, Windows	Mac, Linux, Windows	Visual Studio Code, Sublime	git	Manually 	Conventional development. Dev locally and move to staging and production. 	16g ram, i5, windows 10	Vm image	Local development	No	No	Waterfall model
23/01/2021 07:05:45	Web Applications, Mobile Application, Desktop Application, Data Dashboard	PHP, Javascript, Python, R, Java, Dart, C and C++	Ubuntu Linux, Red Hat Linux, iOS, Android, Windows, None - Use serverless, function as a service etc	Mac, Linux, Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git, CVS, svn	Brute, mocha, selenium 	Docker, kubernetes not yet	i7 with 16G Ram for Windows, Mac Mini, and Linux for VMs (cloud)	Using Jenkins and Chef	Azure DevOps	Maybe	Yes	Now remote, standup virtually
23/01/2021 11:01:07	Web Applications, Data Dashboard	PHP, Javascript	Ubuntu Linux	Windows	Visual Studio Code	git	just test, click2		thinkpad t580, 16gb ram,1tb hdd	sftp, pull from git	JIRA	Yes	Yes	waterfall
23/01/2021 13:49:25	Mobile Application	Kotlin	Android	Mac	JetBrains based - PyCharm, RubyMine etc	git	My hands.	None	MacBook Pro 16 2019	Bitrise	JIRA	Yes	Yes	
23/01/2021 13:53:49	Web Applications	Javascript, Python	Ubuntu Linux	Mac, Linux, Windows	Visual Studio Code	git	Create a test case and check it	Vscode + kite + docker Use vscode remote ssh for some project	Ryzen 1700 16gb ram 1080 11gb 1.5T	Docker image	Github	Yes	No	
23/01/2021 14:59:18	Machine learning solutions	Python	Ubuntu Linux, None - Use serverless, function as a service etc, Heroku	Linux	Visual Studio Code, VIM	git	Pytest	VS Code over ssh	2X Xeon Gold 6136, Quadro P6000	Docker microservice, AWS Lambda, on-prem ETL	WhatsApp	No	No	
23/01/2021 15:24:54	Web Applications	Javascript	Ubuntu Linux	Windows	Visual Studio Code	git					JIRA	Yes	Yes	
23/01/2021 16:06:04	Web Applications, Mobile Application	Javascript, Python	Ubuntu Linux, None - Use serverless, function as a service etc	Windows	Visual Studio Code	git	try run it on pc (wsl) first, then deploy it later on cloud	I use remote dev, wsl2 etc. Have interest in docker/kubernets, but still not very well versed in both technologies. Use VS Code and its plugins, especially python/js related plugins, besides remote dev plugins. 	6-7 years old Acer laptop, with win10 OS. Medium-low end intel gen4 cpu and old nvidia gpu.	Use cd tools in cloud service to deploy from github when new commit is pushed	Github	No	No	I am freelancing right now, so I mostly work alone. Only take small projects. 
23/01/2021 20:26:57	Web Applications, Mobile Application, Desktop Application	PHP, Javascript	Ubuntu Linux, Android, Windows	Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git					Github	Yes	Yes	
24/01/2021 00:33:43	Web Applications, Mobile Application	PHP, Python	Android, Windows	Windows	Visual Studio Code	git					Github	No	No	
24/01/2021 01:32:34	Web Applications, Data Dashboard	PHP, Javascript, Python, R	Ubuntu Linux, Windows, None - Use serverless, function as a service etc	Windows, WSL2 	Visual Studio Code	git			I5 8250u, 12GB RAM, 256GB SSD, 14 inch hp pavilion. With external monitor 22inch Samsung t35f22 series					
24/01/2021 09:37:54	Web Applications	Javascript	Ubuntu Linux	Windows	Visual Studio Code	git	jest and Cypress	use prettier to format code. 			JIRA	Yes	Yes	
25/01/2021 10:49:18	Web Applications, Mobile Application, Data Dashboard	PHP, Javascript, Python, Dart	iOS, Android, None - Use serverless, function as a service etc	Mac	Visual Studio Code, Sublime	git	Postman for API test, Hallway testing, sometimes test in production	- Docker, vagrant - IDE must have linters - pre-commit checks	MBP16, 16gb, 1TB	Bitbucket Pipeline > Lambda Bitbucket Pipeline > Beanstalk	JIRA	Yes	Yes	FIFA 2021 every night
25/01/2021 10:49:40	Web Applications, Mobile Application	Javascript, Java	Red Hat Linux, iOS, Android	Mac, Windows	JetBrains based - PyCharm, RubyMine etc, Netbeans, Eclipse	Gitlab	Manual + automated ( cucumber )	Deployed on k8s. 		Build docker images in pipeline. Use cloud build service for mobile	JIRA	Yes	Yes	The usual. Demo and retro
25/01/2021 10:59:30	Web Applications, Mobile Application	PHP, Javascript	Red Hat Linux	Windows	JetBrains based - PyCharm, RubyMine etc	Manual	Localhost	Use plugin in IDE (database, jquery, bootstrap, joomla cms plugin etc)	Use refurbished laptop. Core i5 4th gen, 16gb ddr3, 1tb ssd	Use tools in IDE	Manual	Maybe	Maybe	rapid development' - build 1st, fix later 😁😂
25/01/2021 11:04:54	Data Dashboard	Python	Ubuntu Linux, Windows	Linux, Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git					Azure DevOps	Yes	Yes	
25/01/2021 12:20:38	Web Applications	Javascript, Python, Elixir	Ubuntu Linux	Mac	Visual Studio Code	git	Unit test, manual test	Local, vscode plugins, docker	Macbook Pro 15 2019, 1tb, 32gb ram, Intel 2.4ghz 8core	Custom script to build docker image then deploy	JIRA	Yes	No	
25/01/2021 13:28:43	Web Applications, Mobile Application, Infra management	PHP, Javascript, Python, Kotlin	Ubuntu Linux, Red Hat Linux, Windows, None - Use serverless, function as a service etc	Mac	Visual Studio Code	git	Test everything in prod.	A lot of shell scripting to create a personal workflow	Macbook Pro 16	CI/CD + Docker + Shell scripts	Github	Yes	Yes	Asynchronous communication is valuable
25/01/2021 13:32:06	Web Applications	Javascript, Go	None - Use serverless, function as a service etc	Mac	Visual Studio Code	git	Manual		MBP 14” 2014, 16GB RAM	Docker	My own tool	No	No	
25/01/2021 13:51:03	Machine Software	C++	Windows	Windows	Visual Studio 	git	Manual		Dell Business Laptop	Company Server	None	Yes	No	
25/01/2021 14:58:45	Web Applications, Mobile Application, Desktop Application, Data Dashboard	PHP, Javascript, R, Java, Kotlin	Ubuntu Linux, Red Hat Linux, iOS, Android, Windows	Mac, Windows	Visual Studio Code, Gitpod	git	Junit	Vagrant	MacBook Pro, Lenovo X390	Jenkins	Github	Yes	Yes	
25/01/2021 15:49:51	Web Applications, Mobile Application, Desktop Application, Data Dashboard		iOS, Android, Windows	Mac, Linux, Windows		git	Using tool	Yup using plugin	I9 and i7 and server	Using visual studio tool		No	No	Using agile
25/01/2021 17:12:45	Desktop Application		Windows	Windows										
25/01/2021 18:36:31	Web Applications, Mobile Application	PHP, Ruby, Python	Ubuntu Linux, Red Hat Linux, Android	Windows	Visual Studio Code, Notepad++	git	Unit test and staging	Php intellisense, flutter& sourcecookifier(notepad++)	I7, 32gb ram	Script	JIRA	No	Yes	
25/01/2021 19:18:56	Web Applications, Mobile Application	PHP, Javascript, Python	Ubuntu Linux, None - Use serverless, function as a service etc	Windows	Visual Studio Code	git	I'd normally do testing for front-end ( I'm a front-end developer ).. I use e2e testing using protractor.		Ryzen 7 4800, 16GB RAM ( upgrading to 32GB soon ), 1660ti GPU	If I use AWS then I deploy using CloudFormation.. Otherwise I use runcloud.io if I use GCP or Digital Ocean	Trello	Yes	Yes	
25/01/2021 19:39:05	Web Applications, Mobile Application, Desktop Application	PHP, C#	Ubuntu Linux, iOS, Android, Windows	Windows	Visual Studio Code, Visual studio 	git				Docker, iis, nginx	Github	No	Maybe	
25/01/2021 20:14:22	Mobile Application	Javascript, Java, Swift, Objective-C	iOS, Android	Mac	JetBrains based - PyCharm, RubyMine etc	git	Mocha		Macbook Pro 13 inch 2018, 16gb, 512gb	Apple Appconnect, Google Play	JIRA	Yes	Yes	
25/01/2021 20:21:19	Web Applications, Mobile Application, Desktop Application, Data Dashboard, integrations middleware	Javascript, Java	Ubuntu Linux, Red Hat Linux, iOS, Android, Windows	Linux, Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git, svn	we have dedicated software tester team. 	yes. docker and kubernetes. 	ASUS TUF FX505DV 32GB RAM	maven and gradle. jenkins for ci/cd. docker for container and kubernetes. 	JIRA	Yes	Yes	code reviews. 
25/01/2021 22:34:00	Web Applications, Data Dashboard	Python	Windows, None - Use serverless, function as a service etc	Mac, Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git					JIRA	Yes	Yes	
25/01/2021 22:43:20	Web Applications	PHP, Javascript, Typescript	Ubuntu Linux, Windows, None - Use serverless, function as a service etc	Windows	Visual Studio Code	git	Jest for unit tests, postman for API testing	Most of plugins are out of the box from VS Code. Other than that are Bookmarks, Prettier, ESlint, Gitlens, Docker	Lenovo T490, Windows 10, 32GB RAM	Docker image	JIRA	Yes	Yes	Pair programming, Test driven development
25/01/2021 23:12:11	Web Applications	Javascript, Python	Ubuntu Linux, Red Hat Linux, None - Use serverless, function as a service etc	Mac	Visual Studio Code	git					JIRA	Yes	Yes	
26/01/2021 02:57:38	Web Applications, Data Dashboard	PHP, Javascript	Ubuntu Linux	Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git					Github	No	Yes	
26/01/2021 03:08:11	Web Applications, Mobile Application	PHP, Javascript, Python, R	Ubuntu Linux, iOS	Mac	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc, Sublime	git, svn	unit test will do						Yes	
26/01/2021 06:42:00	Web Applications	PHP, Javascript, Python	Ubuntu Linux	Mac, Linux	Visual Studio Code	git					Github	No	No	
26/01/2021 13:48:38	Web Applications	PHP	Windows, Share hosting	Windows	Notepad++ terbaik BoBoiBoy Galaksi	git	Susah nak jawab soalan ini.	Kita guna portable semua perisian yang ada	Laptop dell terpakai. Tunggu cikgu Suraya beli Mac untuk kita	Guna ftp sudah.	Github	Maybe	Yes	Tunggu ilham dari langit baru mula programming website.
26/01/2021 14:30:39	Web Applications, Mobile Application, Data Dashboard	PHP, Javascript, Python, Java, Go	Ubuntu Linux, iOS, Android, Windows	Mac, Linux, Windows	Visual Studio Code, EMACS	git	Production	VS Code Remote Development	As long as VS Code runs	Docker	Trello	No	Yes	
26/01/2021 15:48:20	Web Applications, Data Dashboard	Python	Windows, None - Use serverless, function as a service etc	Mac, Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git					JIRA	Yes	Yes	
26/01/2021 16:02:37	Web Applications	PHP	Ubuntu Linux, Windows	Windows	PHPStorm 	git	localhost apache 	autocompletion of course 	middle spec	i dunno 	Trello	No	No	nothing 
26/01/2021 18:33:51	Web Applications, Data Dashboard	PHP, Javascript, Python	Ubuntu Linux, Red Hat Linux, Windows	Windows	Visual Studio Code, JetBrains based - PyCharm, RubyMine etc	git	Unit test	Virtualbox	Lenovo legion 5, dell precision 3530	Azure pipeline, jenkins	Github	Yes	Yes	
